Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
LIMK2,1,217475_s_at,-1.08412971,2.75e-15,5.53e-17,Down,Down,217475_s_at
POLI,1,219317_at,-1.01411241,2.88e-15,5.84e-17,Down,Down,219317_at
TTC30B,2,1554588_a_at,-1.04806991,2.95e-15,6e-17,Down,Down,1554588_a_at|243413_at
TGFB1,1,203085_s_at,1.61510843,3.06e-15,6.24e-17,Up,Up,203085_s_at
MXRA8,1,213422_s_at,1.42904627,3.17e-15,6.48e-17,Up,Up,213422_s_at
ASGR1,1,206743_s_at,-1.10584928,3.21e-15,6.58e-17,Down,Down,206743_s_at
HDAC9,1,205659_at,2.10947259,3.34e-15,6.88e-17,Up,Up,205659_at
PFKFB2,2,209992_at,-1.14740188,3.42e-15,7.05e-17,Down,Down,209992_at|226733_at
AKR1C1,3,204151_x_at,-1.73806633,3.72e-15,7.71e-17,Down,Down,204151_x_at|216594_x_at|1555854_at
AKAP12,4,227529_s_at,-1.83432544,3.73e-15,7.76e-17,Down,Down,227529_s_at|231067_s_at|210517_s_at|227530_at
PTCHD4,1,234689_at,1.34951076,3.79e-15,7.9e-17,Up,Up,234689_at
CD109,1,226545_at,1.66516621,3.92e-15,8.21e-17,Up,Up,226545_at
LOC102725271,2,227566_at,2.67205692,3.96e-15,8.31e-17,Up,Up,227566_at|222020_s_at
NTM,2,227566_at,2.67205692,3.96e-15,8.31e-17,Up,Up,227566_at|222020_s_at
BMP2,2,205289_at,-1.43457175,3.96e-15,8.31e-17,Down,Down,205289_at|205290_s_at
TTC39B,1,232000_at,1.2528619,3.97e-15,8.35e-17,Up,Up,232000_at
TMEM108,2,223524_s_at,1.85654152,4.3e-15,9.07e-17,Up,Up,223524_s_at|223523_at
CTSH,1,202295_s_at,1.6957118,4.43e-15,9.34e-17,Up,Up,202295_s_at
C9orf16,1,204480_s_at,1.00854686,5.03e-15,1.07e-16,Up,Up,204480_s_at
RHOBTB3,4,202975_s_at,1.44238511,5.39e-15,1.15e-16,Up,Up,202975_s_at|202976_s_at|225202_at|216048_s_at
EMP3,1,203729_at,1.26557665,5.41e-15,1.15e-16,Up,Up,203729_at
