Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
LCN2,1,212531_at,1.48328854,6.55e-9,5.15e-10,Up,Up,212531_at
DCSTAMP,1,221266_s_at,2.4293899,6.88e-9,5.45e-10,Up,Up,221266_s_at
MUC1,2,213693_s_at,1.49541729,6.93e-9,5.49e-10,Up,Up,213693_s_at|207847_s_at
LRP2,1,205710_at,-1.11209768,7.64e-9,6.11e-10,Down,Down,205710_at
DTNA,1,227084_at,1.02331395,7.89e-9,6.34e-10,Up,Up,227084_at
FLT1,2,226498_at,1.05407347,7.9e-9,6.35e-10,Up,Up,226498_at|226497_s_at
GBP3,1,223434_at,1.16221841,8.12e-9,6.54e-10,Up,Up,223434_at
LOXL1,1,203570_at,1.03866343,8.31e-9,6.71e-10,Up,Up,203570_at
ST6GALNAC5,2,220979_s_at,1.99851248,8.59e-9,6.95e-10,Up,Up,220979_s_at|230482_at
CEACAM6,2,211657_at,1.93858105,8.86e-9,7.19e-10,Up,Up,211657_at|203757_s_at
ARX,1,238878_at,1.99107212,1.01e-8,8.23e-10,Up,Up,238878_at
RRAGD,1,221523_s_at,-1.00682734,1.02e-8,8.32e-10,Down,Down,221523_s_at
ATP6V0E2,1,213587_s_at,-1.07072494,1.04e-8,8.5e-10,Down,Down,213587_s_at
STX11,1,235670_at,-1.01362767,1.1e-8,9.09e-10,Down,Down,235670_at
PAX9,1,231145_at,1.95958393,1.15e-8,9.56e-10,Up,Up,231145_at
DOCK10,1,219279_at,1.66391582,1.21e-8,1e-9,Up,Up,219279_at
NAPSA,1,223806_s_at,1.04170692,1.24e-8,1.04e-9,Up,Up,223806_s_at
SEL1L3,2,212314_at,1.35984502,1.25e-8,1.05e-9,Up,Up,212314_at|212311_at
ENPEP,1,204844_at,1.33512454,1.25e-8,1.05e-9,Up,Up,204844_at
SNORD3A,1,235102_x_at,-2.08721186,1.29e-8,1.08e-9,Down,Down,235102_x_at
SNORD3B-1,1,235102_x_at,-2.08721186,1.29e-8,1.08e-9,Down,Down,235102_x_at
SNORD3B-2,1,235102_x_at,-2.08721186,1.29e-8,1.08e-9,Down,Down,235102_x_at
SNORD3C,1,235102_x_at,-2.08721186,1.29e-8,1.08e-9,Down,Down,235102_x_at
SNORD3D,1,235102_x_at,-2.08721186,1.29e-8,1.08e-9,Down,Down,235102_x_at
GAP43,1,204471_at,1.33583504,1.32e-8,1.11e-9,Up,Up,204471_at
COL1A2,2,229218_at,1.46253329,1.33e-8,1.12e-9,Up,Up,229218_at|202404_s_at
GAS5,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD44,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD47,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD74,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD76,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD77,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD79,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD80,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
SNORD81,1,227517_s_at,1.05209707,1.35e-8,1.14e-9,Up,Up,227517_s_at
VLDLR,1,209822_s_at,-1.12203096,1.52e-8,1.29e-9,Down,Down,209822_s_at
CTNNB1,1,223679_at,1.10664437,1.52e-8,1.29e-9,Up,Up,223679_at
TNFAIP6,1,206026_s_at,1.13753874,1.53e-8,1.31e-9,Up,Up,206026_s_at
TMC8,1,227353_at,1.21378734,1.55e-8,1.33e-9,Up,Up,227353_at
PCED1B,1,228298_at,1.29391209,1.73e-8,1.49e-9,Up,Up,228298_at
COL5A2,2,221729_at,1.19618707,1.75e-8,1.51e-9,Up,Up,221729_at|221730_at
IRX3,1,229638_at,1.22196644,1.82e-8,1.58e-9,Up,Up,229638_at
GBP2,2,202748_at,1.65572201,2.1e-8,1.85e-9,Up,Up,202748_at|242907_at
GRIA3,1,1569290_s_at,1.17568036,2.14e-8,1.89e-9,Up,Up,1569290_s_at
SYTL4,1,227703_s_at,-1.03753786,2.24e-8,1.99e-9,Down,Down,227703_s_at
OPCML,2,214111_at,2.48830476,2.27e-8,2.01e-9,Up,Up,214111_at|206215_at
MYO1G,2,244654_at,1.12955214,2.4e-8,2.14e-9,Up,Up,244654_at|227799_at
LOC100996579,2,236598_at,-1.22474253,2.81e-8,2.55e-9,Down,Down,236598_at|236451_at
F5,3,204714_s_at,1.88071128,2.89e-8,2.63e-9,Up,Up,204714_s_at|204713_s_at|231029_at
ADAM12,1,226777_at,1.43953454,3.25e-8,2.99e-9,Up,Up,226777_at
UHRF1,1,225655_at,1.42966232,3.46e-8,3.21e-9,Up,Up,225655_at
LDLR,1,202068_s_at,1.363582,3.65e-8,3.4e-9,Up,Up,202068_s_at
TRPC5,1,220552_at,1.25836121,3.74e-8,3.49e-9,Up,Up,220552_at
TDO2,1,205943_at,1.67040817,3.76e-8,3.51e-9,Up,Up,205943_at
VCAN,5,204619_s_at,1.56963057,3.78e-8,3.53e-9,Up,Up,204619_s_at|221731_x_at|204620_s_at|215646_s_at|211571_s_at
AKR1C3,1,209160_at,-1.27259525,3.9e-8,3.66e-9,Down,Down,209160_at
SH3GL2,1,205751_at,-1.36795504,4.05e-8,3.81e-9,Down,Down,205751_at
IGFL2,1,231148_at,1.14826439,4.16e-8,3.93e-9,Up,Up,231148_at
RGS2,1,202388_at,-1.23228373,4.21e-8,3.97e-9,Down,Down,202388_at
PHEX,2,239229_at,2.41861687,4.63e-8,4.42e-9,Up,Up,239229_at|210617_at
GABRB3,1,227690_at,-1.28555619,4.63e-8,4.42e-9,Down,Down,227690_at
PRSS3P2,1,215395_x_at,1.04893354,4.8e-8,4.6e-9,Up,Up,215395_x_at
SYT1,1,203999_at,1.20925389,5.12e-8,4.93e-9,Up,Up,203999_at
IGH,2,1558438_a_at,-1.00567532,5.97e-8,5.84e-9,Down,Down,1558438_a_at|217022_s_at
PCDH7,1,205534_at,1.02082728,6.31e-8,6.2e-9,Up,Up,205534_at
GLDC,1,204836_at,-1.53564727,6.7e-8,6.62e-9,Down,Down,204836_at
CKS2,1,204170_s_at,1.41949657,6.83e-8,6.76e-9,Up,Up,204170_s_at
HSD17B6,2,205700_at,-1.69985237,8.19e-8,8.23e-9,Down,Down,205700_at|37512_at
CCNE2,1,205034_at,1.15411969,8.89e-8,8.99e-9,Up,Up,205034_at
HAS2,2,230372_at,1.52311889,9.06e-8,9.17e-9,Up,Up,230372_at|206432_at
DUXAP10,1,242881_x_at,1.29116687,9.88e-8,1.01e-8,Up,Up,242881_x_at
SCD,1,200832_s_at,1.48629873,1.01e-7,1.03e-8,Up,Up,200832_s_at
IL33,1,209821_at,-1.01119457,1.12e-7,1.15e-8,Down,Down,209821_at
THSD7A,3,214920_at,-1.19331435,1.13e-7,1.17e-8,Down,Down,214920_at|213894_at|229159_at
H19,2,224997_x_at,-1.32194665,1.23e-7,1.28e-8,Down,Down,224997_x_at|224646_x_at
MIR675,2,224997_x_at,-1.32194665,1.23e-7,1.28e-8,Down,Down,224997_x_at|224646_x_at
CLEC7A,2,221698_s_at,1.3455083,1.26e-7,1.32e-8,Up,Up,221698_s_at|1555756_a_at
COL11A1,2,37892_at,1.71835839,1.3e-7,1.36e-8,Up,Up,37892_at|204320_at
ERFE,1,229622_at,1.1197771,1.3e-7,1.35e-8,Up,Up,229622_at
ABCA8,1,204719_at,-1.06641745,1.36e-7,1.43e-8,Down,Down,204719_at
MIR612,3,225239_at,1.47497304,1.43e-7,1.51e-8,Up,Up,225239_at|234989_at|227062_at
NEAT1,3,225239_at,1.47497304,1.43e-7,1.51e-8,Up,Up,225239_at|234989_at|227062_at
ZNF652,1,243495_s_at,-1.16486899,1.43e-7,1.51e-8,Down,Down,243495_s_at
ERBB3,1,226213_at,1.01484006,1.43e-7,1.51e-8,Up,Up,226213_at
HBB,3,217232_x_at,-1.61768394,1.48e-7,1.57e-8,Down,Down,217232_x_at|211696_x_at|209116_x_at
PNP,1,201695_s_at,1.07020714,1.55e-7,1.64e-8,Up,Up,201695_s_at
PDE4D,1,204491_at,-1.07081045,1.57e-7,1.67e-8,Down,Down,204491_at
ST3GAL6,2,210942_s_at,1.1333828,1.62e-7,1.73e-8,Up,Up,210942_s_at|213355_at
ADAMTS2,1,226311_at,1.07352575,1.81e-7,1.95e-8,Up,Up,226311_at
SYT13,1,226086_at,-1.50044126,1.91e-7,2.08e-8,Down,Down,226086_at
PLPP2,1,209529_at,1.1527507,1.91e-7,2.07e-8,Up,Up,209529_at
ERP27,1,227450_at,1.1301828,2.06e-7,2.25e-8,Up,Up,227450_at
CENPU,1,218883_s_at,1.29071953,2.17e-7,2.39e-8,Up,Up,218883_s_at
ZNF826P,1,1569191_at,-1.25742183,2.17e-7,2.39e-8,Down,Down,1569191_at
MCUB,1,218802_at,1.12124617,2.22e-7,2.45e-8,Up,Up,218802_at
KLHDC7B,1,236285_at,1.41110843,2.88e-7,3.24e-8,Up,Up,236285_at
STAT4,1,206118_at,1.17287211,3.18e-7,3.62e-8,Up,Up,206118_at
RNF213,1,231956_at,1.16100587,3.19e-7,3.63e-8,Up,Up,231956_at
LIX1,2,236163_at,-1.03498664,3.2e-7,3.64e-8,Down,Down,236163_at|230865_at
XPO1,1,235927_at,1.04348499,3.21e-7,3.66e-8,Up,Up,235927_at
ADGRB3,1,205638_at,1.04335248,3.23e-7,3.68e-8,Up,Up,205638_at
EHF,1,225645_at,1.482432,3.36e-7,3.84e-8,Up,Up,225645_at
DDIT4,1,202887_s_at,1.09945184,3.36e-7,3.85e-8,Up,Up,202887_s_at
LOC101927365,1,238069_at,-1.0618618,3.41e-7,3.91e-8,Down,Down,238069_at
TMEM71,1,238429_at,1.10655841,3.47e-7,3.98e-8,Up,Up,238429_at
GPR37,1,209631_s_at,1.42332827,3.48e-7,4e-8,Up,Up,209631_s_at
SEL1L2,1,209631_s_at,1.42332827,3.48e-7,4e-8,Up,Up,209631_s_at
NFIA,1,229994_at,-1.29613012,3.54e-7,4.08e-8,Down,Down,229994_at
INHBA,2,227140_at,1.33117529,3.62e-7,4.17e-8,Up,Up,227140_at|210511_s_at
CD1A,1,210325_at,1.22495312,3.78e-7,4.37e-8,Up,Up,210325_at
SLC6A13,1,237058_x_at,-1.15072502,3.9e-7,4.53e-8,Down,Down,237058_x_at
NR4A3,2,207978_s_at,-1.62141376,4.25e-7,4.96e-8,Down,Down,207978_s_at|209959_at
STAT1,1,209969_s_at,1.67906356,4.45e-7,5.23e-8,Up,Up,209969_s_at
MMP7,1,204259_at,1.50025577,4.5e-7,5.29e-8,Up,Up,204259_at
LRRN3,2,209841_s_at,-1.357272,4.52e-7,5.33e-8,Down,Down,209841_s_at|209840_s_at
IFIT3,1,229450_at,1.02934059,4.81e-7,5.69e-8,Up,Up,229450_at
SFRP1,2,202037_s_at,-1.58525879,5.14e-7,6.13e-8,Down,Down,202037_s_at|202036_s_at
FCER1G,2,204232_at,1.33533878,5.23e-7,6.25e-8,Up,Up,204232_at|1554899_s_at
ACP5,1,204638_at,1.36666634,5.37e-7,6.44e-8,Up,Up,204638_at
FAM81B,1,240065_at,-1.01146296,5.37e-7,6.43e-8,Down,Down,240065_at
ADGRF1,1,236489_at,1.13647838,5.7e-7,6.87e-8,Up,Up,236489_at
PDGFRA,1,203131_at,-1.11459608,5.83e-7,7.04e-8,Down,Down,203131_at
KIF13A,1,220777_at,1.00696234,5.94e-7,7.18e-8,Up,Up,220777_at
BUB1B,1,203755_at,1.17020141,5.95e-7,7.19e-8,Up,Up,203755_at
RAB27B,1,228708_at,1.62348085,5.99e-7,7.25e-8,Up,Up,228708_at
VPS13C,1,235023_at,1.06348183,6.73e-7,8.23e-8,Up,Up,235023_at
DUSP1,1,201044_x_at,-1.1428085,6.84e-7,8.38e-8,Down,Down,201044_x_at
MFAP3L,1,205442_at,-1.02862271,7.27e-7,8.95e-8,Down,Down,205442_at
NALCN,1,228608_at,-1.06445376,7.74e-7,9.57e-8,Down,Down,228608_at
CENPK,1,222848_at,1.26157836,7.99e-7,9.93e-8,Up,Up,222848_at
SCARA3,1,223843_at,1.04038962,8.33e-7,1.04e-7,Up,Up,223843_at
TOP2A,2,201292_at,1.43518014,8.39e-7,1.05e-7,Up,Up,201292_at|201291_s_at
ANKRD22,1,238439_at,1.64768192,8.89e-7,1.12e-7,Up,Up,238439_at
MKX,1,239468_at,1.49161925,9.18e-7,1.15e-7,Up,Up,239468_at
NUSAP1,1,218039_at,1.48155377,9.41e-7,1.19e-7,Up,Up,218039_at
RASD1,1,223467_at,1.02495388,0.00000121,1.56e-7,Up,Up,223467_at
SPP1,1,209875_s_at,2.3467898,0.00000128,1.67e-7,Up,Up,209875_s_at
ST6GAL1,1,214971_s_at,-1.08834953,0.0000013,1.7e-7,Down,Down,214971_s_at
TM4SF4,1,209937_at,1.02272758,0.00000133,1.73e-7,Up,Up,209937_at
HLA-DQB2,1,215536_at,1.38279284,0.00000141,1.85e-7,Up,Up,215536_at
HLA-DQB1,4,212998_x_at,1.6680638,0.00000142,1.87e-7,Up,Up,212998_x_at|211654_x_at|211656_x_at|209823_x_at
LOC101060835,3,212998_x_at,1.6680638,0.00000142,1.87e-7,Up,Up,212998_x_at|211656_x_at|209823_x_at
SSX1,1,206626_x_at,1.10785821,0.00000146,1.92e-7,Up,Up,206626_x_at
ADTRP,1,229070_at,1.1843292,0.00000158,2.09e-7,Up,Up,229070_at
LOC101926951,1,232054_at,1.20022819,0.00000159,2.11e-7,Up,Up,232054_at
PCDH20,1,232054_at,1.20022819,0.00000159,2.11e-7,Up,Up,232054_at
ABCC11,1,224146_s_at,1.04866993,0.00000169,2.26e-7,Up,Up,224146_s_at
HBA1,6,214414_x_at,-1.37170762,0.00000173,2.32e-7,Down,Down,214414_x_at|211745_x_at|209458_x_at|217414_x_at|211699_x_at|204018_x_at
HBA2,6,214414_x_at,-1.37170762,0.00000173,2.32e-7,Down,Down,214414_x_at|211745_x_at|209458_x_at|217414_x_at|211699_x_at|204018_x_at
NDC80,1,204162_at,1.22227399,0.00000181,2.44e-7,Up,Up,204162_at
COL5A1,2,212489_at,1.11035379,0.00000213,2.91e-7,Up,Up,212489_at|212488_at
CA4,1,206209_s_at,-1.29758847,0.00000215,2.94e-7,Down,Down,206209_s_at
FAM19A2,1,241399_at,1.5687029,0.00000217,2.96e-7,Up,Up,241399_at
PTGER4,1,204897_at,1.16897853,0.00000221,3.03e-7,Up,Up,204897_at
CFB,1,202357_s_at,1.77721382,0.0000024,3.31e-7,Up,Up,202357_s_at
LRRN1,1,226884_at,1.38406142,0.00000299,4.21e-7,Up,Up,226884_at
KIAA0101,1,202503_s_at,1.1855897,0.0000031,4.4e-7,Up,Up,202503_s_at
AGTR1,1,205357_s_at,-1.25353203,0.00000312,4.42e-7,Down,Down,205357_s_at
EGR2,1,205249_at,-1.07839302,0.00000312,4.42e-7,Down,Down,205249_at
FAM65B,1,209829_at,1.48000334,0.00000323,4.6e-7,Up,Up,209829_at
PIWIL1,1,214868_at,1.1944865,0.00000365,5.26e-7,Up,Up,214868_at
ANLN,1,222608_s_at,1.05154766,0.00000382,5.52e-7,Up,Up,222608_s_at
GREB1,1,205862_at,1.01645432,0.00000409,5.95e-7,Up,Up,205862_at
RAB7B,1,230266_at,1.01151495,0.00000412,6e-7,Up,Up,230266_at
LINC00473,1,230251_at,-1.4744414,0.00000413,6.01e-7,Down,Down,230251_at
NOVA1,1,205794_s_at,1.34840588,0.00000417,6.07e-7,Up,Up,205794_s_at
KRT222,2,243998_at,1.28242756,0.00000427,6.24e-7,Up,Up,243998_at|244111_at
PAK3,3,236277_at,-1.03316949,0.0000052,7.77e-7,Down,Down,236277_at|229201_at|214078_at
KLK7,1,239381_at,1.23955044,0.0000054,8.09e-7,Up,Up,239381_at
IL18,1,206295_at,1.19794902,0.0000056,8.41e-7,Up,Up,206295_at
PDK4,1,1562321_at,1.17656536,0.00000566,8.51e-7,Up,Up,1562321_at
ID2,1,213931_at,1.01960461,0.00000593,8.97e-7,Up,Up,213931_at
ID2B,1,213931_at,1.01960461,0.00000593,8.97e-7,Up,Up,213931_at
DPP10,1,228598_at,1.29368788,0.00000661,0.00000101,Up,Up,228598_at
PLA2G5,1,215870_s_at,1.27280824,0.00000673,0.00000103,Up,Up,215870_s_at
CCL20,1,205476_at,1.00698714,0.00000674,0.00000103,Up,Up,205476_at
HLF,2,204753_s_at,-1.19438461,0.00000856,0.00000134,Down,Down,204753_s_at|204755_x_at
TYROBP,1,204122_at,1.23790424,0.00000945,0.00000149,Up,Up,204122_at
SLC6A14,1,219795_at,1.46819602,0.0000103,0.00000164,Up,Up,219795_at
MTHFD2,1,201761_at,1.23571367,0.0000124,0.00000201,Up,Up,201761_at
IL1RN,1,212657_s_at,1.04125942,0.0000176,0.00000297,Up,Up,212657_s_at
DMRT3,1,231800_s_at,-1.34285026,0.0000215,0.00000369,Down,Down,231800_s_at
RRM2,2,201890_at,1.41208824,0.0000227,0.00000391,Up,Up,201890_at|209773_s_at
ANKRD10-IT1,1,226663_at,1.03159381,0.0000269,0.00000472,Up,Up,226663_at
ALOX5AP,1,204174_at,1.19820833,0.0000271,0.00000477,Up,Up,204174_at
CHIT1,1,208168_s_at,1.10012956,0.0000286,0.00000506,Up,Up,208168_s_at
LAMP3,1,205569_at,1.71436062,0.0000287,0.00000507,Up,Up,205569_at
CRNDE,1,238021_s_at,1.08292094,0.0000293,0.0000052,Up,Up,238021_s_at
ZBTB16,1,205883_at,-1.06512169,0.0000387,0.00000704,Down,Down,205883_at
EZH2,1,203358_s_at,1.01041107,0.0000402,0.00000734,Up,Up,203358_s_at
S100B,1,209686_at,1.19840707,0.0000438,0.00000806,Up,Up,209686_at
JAK3,1,227677_at,1.15395677,0.000054,0.0000102,Up,Up,227677_at
THBS2,1,203083_at,1.02616889,0.0000557,0.0000105,Up,Up,203083_at
NMU,1,206023_at,1.49839846,0.0000624,0.0000119,Up,Up,206023_at
SLITRK6,1,232481_s_at,1.07947546,0.0000624,0.0000119,Up,Up,232481_s_at
RAC2,1,213603_s_at,1.32328156,0.0000639,0.0000122,Up,Up,213603_s_at
TRAF5,1,204352_at,1.07768093,0.0000646,0.0000124,Up,Up,204352_at
C1S,1,1555229_a_at,-1.26670033,0.0000649,0.0000125,Down,Down,1555229_a_at
SFTPA1,1,218835_at,1.5170285,0.0000655,0.0000126,Up,Up,218835_at
SFTPA2,1,218835_at,1.5170285,0.0000655,0.0000126,Up,Up,218835_at
FOSB,1,202768_at,-1.40973621,0.0000757,0.0000148,Down,Down,202768_at
NMB,1,205204_at,1.00021922,0.0000795,0.0000156,Up,Up,205204_at
KCNAB1,1,210471_s_at,-1.04557447,0.0000823,0.0000162,Down,Down,210471_s_at
SLC20A1,1,230494_at,1.01182555,0.000089,0.0000176,Up,Up,230494_at
KIAA0226L,1,44790_s_at,1.11964263,0.000093,0.0000185,Up,Up,44790_s_at
CTSE,1,205927_s_at,1.16262899,0.0000957,0.0000191,Up,Up,205927_s_at
NAMPT,1,243296_at,1.00080385,0.0000962,0.0000192,Up,Up,243296_at
S100A2,1,204268_at,1.09391225,0.000104,0.000021,Up,Up,204268_at
LYZ,2,213975_s_at,1.45348379,0.00012,0.0000245,Up,Up,213975_s_at|1555745_a_at
MNDA,1,204959_at,1.11121381,0.00012,0.0000245,Up,Up,204959_at
C7,1,202992_at,-1.06068709,0.000143,0.0000299,Down,Down,202992_at
HLA-DPA1,3,213537_at,1.37451052,0.000158,0.0000333,Up,Up,213537_at|211990_at|211991_s_at
CDH11,2,207173_x_at,1.10903133,0.000167,0.0000355,Up,Up,207173_x_at|236179_at
CALCA,3,210727_at,-1.71881257,0.000186,0.00004,Down,Down,210727_at|210728_s_at|217561_at
C1QB,1,202953_at,1.19317857,0.000197,0.0000426,Up,Up,202953_at
TCN1,1,205513_at,1.08176139,0.00024,0.0000529,Up,Up,205513_at
C1QC,1,225353_s_at,1.0576582,0.00024,0.0000527,Up,Up,225353_s_at
HLA-DRB1,1,204670_x_at,1.04912126,0.000284,0.0000636,Up,Up,204670_x_at
HLA-DRB4,1,204670_x_at,1.04912126,0.000284,0.0000636,Up,Up,204670_x_at
LOC100996809,1,204670_x_at,1.04912126,0.000284,0.0000636,Up,Up,204670_x_at
TCERG1L,1,231257_at,1.03329826,0.000285,0.0000638,Up,Up,231257_at
LCP2,1,205269_at,1.16758345,0.000318,0.0000721,Up,Up,205269_at
LOC102724689,1,239624_at,-1.12307397,0.000354,0.0000812,Down,Down,239624_at
BCHE,1,205433_at,1.56935925,0.000455,0.000107,Up,Up,205433_at
ITGB2,1,202803_s_at,1.1441074,0.000476,0.000113,Up,Up,202803_s_at
LOC613037,1,215123_at,1.02480661,0.00059,0.000143,Up,Up,215123_at
NPIPA5,1,215123_at,1.02480661,0.00059,0.000143,Up,Up,215123_at
NPIPB3,1,215123_at,1.02480661,0.00059,0.000143,Up,Up,215123_at
NPIPB4,1,215123_at,1.02480661,0.00059,0.000143,Up,Up,215123_at
NPIPB5,1,215123_at,1.02480661,0.00059,0.000143,Up,Up,215123_at
TMEM176B,1,220532_s_at,1.00845762,0.000793,0.000198,Up,Up,220532_s_at
RET,1,211421_s_at,1.10398282,0.000923,0.000234,Up,Up,211421_s_at
CCL18,2,209924_at,1.12644674,0.000934,0.000237,Up,Up,209924_at|32128_at
MMP9,1,203936_s_at,1.15175987,0.00115,0.000298,Up,Up,203936_s_at
HLA-DQA1,1,212671_s_at,1.4121916,0.00145,0.000388,Up,Up,212671_s_at
HLA-DQA2,1,212671_s_at,1.4121916,0.00145,0.000388,Up,Up,212671_s_at
LOC100509457,1,212671_s_at,1.4121916,0.00145,0.000388,Up,Up,212671_s_at
HLA-DRA,2,210982_s_at,1.08591882,0.00192,0.00053,Up,Up,210982_s_at|208894_at
C15orf48,1,223484_at,1.06383265,0.00194,0.000537,Up,Up,223484_at
ERAP2,2,219759_at,1.23464728,0.00212,0.000594,Up,Up,219759_at|227462_at
KYNU,1,217388_s_at,1.11007092,0.00215,0.000604,Up,Up,217388_s_at
CSTA,1,204971_at,1.16245779,0.00338,0.001,Up,Up,204971_at
SLAMF8,1,219386_s_at,1.07829946,0.00338,0.001,Up,Up,219386_s_at
ZNF750,1,219995_s_at,-1.00066701,0.00521,0.00162,Down,Down,219995_s_at
PLP1,1,210198_s_at,1.07434755,0.0061,0.00193,Up,Up,210198_s_at
WIF1,1,204712_at,1.19084844,0.00729,0.00237,Up,Up,204712_at
IGHA1,1,217022_s_at,1.75334207,0.013,0.00455,Up,Up,217022_s_at
IGHA2,1,217022_s_at,1.75334207,0.013,0.00455,Up,Up,217022_s_at
IGLC1,1,214677_x_at,1.51877195,0.0454,0.0193,Up,Up,214677_x_at
