ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,neg_log10_adjP,DEG_status
212992_at,1.79e-18,1.76e-20,11.8850105,36.1079365,2.25231433,AHNAK2,AHNAK nucleoprotein 2,17.7471469690201,Up
210400_at,1.87e-18,1.85e-20,-11.8743414,36.0572144,-1.59523426,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,17.7281583934635,Down
203059_s_at,1.95e-18,1.94e-20,-11.8641712,36.0088547,-1.44815951,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,17.7099653886375,Down
204702_s_at,2.01e-18,2e-20,11.8573371,35.9763535,2.63564734,NFE2L3,"nuclear factor, erythroid 2 like 3",17.6968039425795,Up
229163_at,2.02e-18,2.01e-20,11.856701,35.9733284,1.91574499,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,17.6946486305534,Up
229278_at,2.02e-18,2.01e-20,-11.8564469,35.9721197,-1.04386055,USP51,ubiquitin specific peptidase 51,17.6946486305534,Down
223631_s_at,2.12e-18,2.13e-20,11.8448902,35.9171493,2.27806973,C19orf33,chromosome 19 open reading frame 33,17.6736641390712,Up
210944_s_at,2.12e-18,2.12e-20,11.8454208,35.9196732,1.71003205,CAPN3,calpain 3,17.6736641390712,Up
209230_s_at,2.12e-18,2.13e-20,-11.8450653,35.9179821,-1.63695101,NUPR1,"nuclear protein 1, transcriptional regulator",17.6736641390712,Down
230419_at,2.12e-18,2.13e-20,-11.8447364,35.9164175,-1.39976389,SOX9-AS1,SOX9 antisense RNA 1,17.6736641390712,Down
225387_at,2.14e-18,2.16e-20,-11.841711,35.9020248,-1.55197492,TSPAN5,tetraspanin 5,17.6695862266508,Down
231779_at,2.15e-18,2.17e-20,11.8407303,35.8973595,1.4214709,IRAK2,interleukin 1 receptor associated kinase 2,17.6675615400844,Up
230875_s_at,2.19e-18,2.21e-20,11.8366606,35.8779972,1.46574603,ATP11A,ATPase phospholipid transporting 11A,17.6595558851599,Up
225388_at,2.31e-18,2.35e-20,-11.8242664,35.8190219,-1.41950476,TSPAN5,tetraspanin 5,17.6363880201079,Down
229341_at,2.33e-18,2.37e-20,-11.8221003,35.8087136,-1.7770572,TFCP2L1,transcription factor CP2-like 1,17.632644078974,Down
228241_at,2.39e-18,2.44e-20,-11.8161221,35.7802618,-2.50074618,AGR3,"anterior gradient 3, protein disulphide isomerase family member",17.6216020990519,Down
227753_at,2.5e-18,2.57e-20,-11.8057847,35.7310565,-2.24937061,TMEM139,transmembrane protein 139,17.602059991328,Down
209293_x_at,2.74e-18,2.83e-20,-11.7857833,35.6358259,-1.37183323,ID4,"inhibitor of DNA binding 4, HLH protein",17.5622494371796,Down
236783_at,2.81e-18,2.91e-20,-11.7800583,35.6085617,-2.03752099,KCNIP4,potassium voltage-gated channel interacting protein 4,17.5512936800949,Down
230802_at,2.82e-18,2.92e-20,-11.7789639,35.6033497,-1.08442308,ARHGAP24,Rho GTPase activating protein 24,17.5497508916806,Down
224190_x_at,2.95e-18,3.07e-20,11.7684383,35.5532156,1.50381663,NOD1,nucleotide binding oligomerization domain containing 1,17.5301779840218,Up
204493_at,3.01e-18,3.15e-20,11.7634677,35.5295374,1.98340919,BID,BH3 interacting domain death agonist,17.5214335044062,Up
204301_at,3.01e-18,3.14e-20,-11.7637606,35.5309325,-1.43148037,KBTBD11,kelch repeat and BTB domain containing 11,17.5214335044062,Down
235438_at,3.01e-18,3.15e-20,-11.7636704,35.5305028,-1.28061858,CYP7B1,cytochrome P450 family 7 subfamily B member 1,17.5214335044062,Down
212110_at,3.07e-18,3.21e-20,-11.759231,35.5093532,-1.36359747,SLC39A14,solute carrier family 39 member 14,17.5128616245228,Down
226559_at,3.19e-18,3.35e-20,11.7505333,35.4679122,1.34528685,IER5L,immediate early response 5 like,17.4962093169428,Up
231181_at,3.34e-18,3.52e-20,-11.7404665,35.4199404,-3.70771485,,,17.4762535331884,Down
211276_at,3.39e-18,3.58e-20,-11.736727,35.4021179,-2.81643086,TCEAL2,transcription elongation factor A like 2,17.4698003017969,Down
216375_s_at,3.49e-18,3.69e-20,11.730467,35.3722806,1.11787522,ETV5,ETS variant 5,17.4571745730408,Up
204933_s_at,3.6e-18,3.83e-20,-11.7226932,35.3352239,-2.15620564,TNFRSF11B,TNF receptor superfamily member 11b,17.4436974992327,Down
229132_at,3.79e-18,4.04e-20,-11.7117942,35.2832609,-1.2056559,MINA,MYC induced nuclear antigen,17.4213607900319,Down
224793_s_at,4.84e-18,5.19e-20,11.659657,35.0345548,1.12558515,TGFBR1,transforming growth factor beta receptor 1,17.3151546383556,Up
210602_s_at,5.04e-18,5.42e-20,11.650644,34.9915387,1.3401668,CDH6,cadherin 6,17.2975694635545,Up
