category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	16/73	87/9395	2.38745101887669e-18	4.8400143382682e-17	1.2337067465965701e-17	AKT1/AREG/BAX/BCL2/CASP3/CASP9/CDKN1A/CYCS/MAPK1/MAPK3/MAPK8/MTOR/MYC/PIK3R1/TGFB1/TP53	16
Human Diseases	Infectious disease: viral	hsa05162	Measles	18/73	136/9395	6.9332577317244896e-18	1.28843039514547e-16	3.28417471502739e-17	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CYCS/FADD/IL1A/IL1B/IL6/MAPK8/NFKB1/PIK3R1/RELA/TLR9/TNFAIP3/TP53	18
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	18/73	142/9395	1.53573538769183e-17	2.63437685734829e-16	6.714956351041191e-17	AKT1/BCL2/CCL2/HMOX1/IL1A/IL1B/IL1R1/MAPK14/MAPK8/MMP2/NFE2L2/NFKB1/NOS3/PIK3R1/RELA/SQSTM1/TNF/TP53	18
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	16/73	99/9395	2.1261617508355902e-17	3.3866719316881097e-16	8.63253643196403e-17	AKT1/BAX/BCL2/CDKN1A/CDKN2A/CYP2D6/ESR1/ESR2/MAPK1/MAPK14/MAPK3/MAPK8/MMP2/MTOR/PIK3R1/TP53	16
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	20/73	205/9395	3.68064299884799e-17	5.47188925828735e-16	1.39476997851082e-16	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CDKN1A/CYCS/FADD/IL6/MAPK14/MAPK8/MYC/NFKB1/PIK3R1/RELA/RIPK1/TNF/TNFAIP3/TP53	20
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	16/73	109/9395	1.05897481228512e-16	1.4759461446223902e-15	3.76214735943398e-16	AKT1/CASP8/CXCL8/FADD/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/RIPK1/TLR9/TNF	16
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	19/73	187/9395	1.19013502184392e-16	1.5611771168893802e-15	3.9793988346484003e-16	BCL2/CASP8/CASR/CCL2/CXCL1/CXCL8/FADD/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MFN2/NFKB1/RELA/RIPK1/TNF/TNFAIP3	19
Human Diseases	Drug resistance: antineoplastic	hsa01524	Platinum drug resistance	14/73	75/9395	3.05026001406085e-16	3.778933239642051e-15	9.63240004440267e-16	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CDKN1A/CDKN2A/CYCS/FADD/MAPK1/MAPK3/PIK3R1/TP53	14
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	14/73	77/9395	4.51618999240876e-16	5.30058088582712e-15	1.35110393124694e-15	AKT1/BAX/CASP9/CDKN1A/CDKN2A/MAPK1/MAPK3/MAPK8/MTOR/NFKB1/PIK3R1/RELA/TGFB1/TP53	14
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	18/73	173/9395	5.55573045779853e-16	6.19463946044536e-15	1.57899707747958e-15	AKT1/BAX/CASP3/CASP8/CASP9/CCL2/CXCL8/CYCS/FADD/IL1A/IL1B/IL6/MAPK1/MAPK3/NFKB1/PIK3R1/RELA/TNF	18
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	26/73	480/9395	6.14436169889363e-16	6.5247269469203805e-15	1.6631354974448902e-15	BAX/BCL2/BECN1/CASP3/CASP8/CASP9/CAT/CYCS/DDIT3/FADD/GPX1/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MFN2/MTOR/NFKB1/PTGS2/RELA/SOD1/SQSTM1/TNF	26
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	18/73	180/9395	1.1314878767471902e-15	1.14691725688465e-14	2.92346149972958e-15	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CCL2/CYCS/FADD/IL1B/IL6/MTOR/NFKB1/PIK3R1/RELA/TLR9/TNF/TP53	18
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	15/73	103/9395	1.19831803880613e-15	1.16184748979899e-14	2.96151826524171e-15	CASP3/COL1A1/COL3A1/CXCL1/CXCL8/FN1/IL10/IL1B/IL1R1/IL6/NFKB1/PIK3R1/RELA/TGFB1/TNF	15
Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	20/73	248/9395	1.5534559979345402e-15	1.44341953141418e-14	3.67923788984496e-15	AKT1/BAX/BCL2/CASP3/CASP8/CXCL8/CYCS/FADD/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MYC/NFKB1/RELA/RIPK1/TLR9/TNF	20
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	17/73	156/9395	1.8257521623176703e-15	1.62857092878736e-14	4.151183863795961e-15	AKT1/BAX/CASP3/CASP8/CASP9/CDKN1A/CYCS/FADD/MAPK1/MAPK3/MYC/NFKB1/PIK3R1/RELA/RIPK1/TNF/TP53	17
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	17/73	157/9395	2.03576974440291e-15	1.68139501111796e-14	4.28583104084823e-15	AKT1/CDKN1A/CDKN2A/CXCL8/IL1A/IL6/MAPK1/MAPK14/MAPK3/MTOR/MYC/NFKB1/PIK3R1/RELA/SQSTM1/TGFB1/TP53	17
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	17/73	157/9395	2.03576974440291e-15	1.68139501111796e-14	4.28583104084823e-15	AKT1/BAX/CASP3/CASP8/CXCL8/CYCS/DDIT3/IL1A/IL1B/IL6/MAPK14/MAPK8/NFKB1/PIK3R1/RELA/TGFB1/TNF	17
Human Diseases	Infectious disease: bacterial	hsa05131	Shigellosis	20/73	253/9395	2.2890039398208903e-15	1.82302813778593e-14	4.6468501033958e-15	AKT1/BAX/BCL2/BECN1/CXCL8/CYCS/IL1B/IL1R1/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/NFKB1/PIK3R1/RELA/RIPK1/SQSTM1/TNF/TP53	20
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	15/73	112/9395	4.3706248327147e-15	3.36085978515647e-14	8.56674195886002e-15	AKT1/BCL2/CASP3/CASP8/CASP9/CYCS/IL10/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/RELA/TGFB1/TNF	15
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	14/73	93/9395	7.254084058804551e-15	5.30237474230109e-14	1.35156118047797e-14	AKT1/BAX/BCL2/CASP3/CASP9/CDKN1A/CYCS/FN1/MYC/NFKB1/PIK3R1/PTGS2/RELA/TP53	14
