gene,tissue_type,analysis_scope,marker_based_cell_type,n_cells,pct_expressing,avg_log_expression,median_log_expression
BCL2,Primary tumor,Primary_vs_paratumor,Endothelial_cells,1887,4.134,0.06563,0
BCL2,Primary tumor,Primary_vs_paratumor,Fibroblasts,2147,4.192,0.08137,0
BCL2,Primary tumor,Primary_vs_paratumor,Mast_cells,334,9.581,0.15085,0
BCL2,Primary tumor,Primary_vs_paratumor,Myeloid_cells,11792,18.258,0.24366,0
BCL2,Primary tumor,Primary_vs_paratumor,Pericyte_smooth_muscle,2708,4.874,0.06525,0
BCL2,Primary tumor,Primary_vs_paratumor,Plasma_cells,4945,7.664,0.13803,0
BCL2,Primary tumor,Primary_vs_paratumor,Proliferating_cells,2364,14.763,0.22318,0
BCL2,Primary tumor,Primary_vs_paratumor,T_NK_cells,14657,16.777,0.29326,0
BCL2,Primary tumor,Primary_vs_paratumor,Thyroid_epithelial,17436,8.66,0.11205,0
FN1,Lymph node metastasis,Metastatic_lesion,B_cells,17379,3.435,0.06246,0
FN1,Lymph node metastasis,Metastatic_lesion,Dendritic_cells,2116,3.639,0.06592,0
FN1,Lymph node metastasis,Metastatic_lesion,Endothelial_cells,2099,49.786,1.1668,0
FN1,Lymph node metastasis,Metastatic_lesion,Fibroblasts,2971,82.497,2.08526,2.29061
FN1,Lymph node metastasis,Metastatic_lesion,Mast_cells,2877,46.472,0.94018,0
FN1,Lymph node metastasis,Metastatic_lesion,Myeloid_cells,3217,36.183,0.57193,0
FN1,Lymph node metastasis,Metastatic_lesion,Pericyte_smooth_muscle,2572,62.869,1.68228,2.11585
FN1,Lymph node metastasis,Metastatic_lesion,Plasma_cells,1714,14.002,0.21467,0
FN1,Lymph node metastasis,Metastatic_lesion,Proliferating_cells,3329,12.316,0.28574,0
FN1,Lymph node metastasis,Metastatic_lesion,T_NK_cells,18874,3.211,0.05414,0
FN1,Lymph node metastasis,Metastatic_lesion,Thyroid_epithelial,13101,82.207,2.63732,2.97547
FN1,Subcutaneous metastasis,Metastatic_lesion,B_cells,269,28.253,0.70381,0
FN1,Subcutaneous metastasis,Metastatic_lesion,Dendritic_cells,68,22.059,0.34304,0
FN1,Subcutaneous metastasis,Metastatic_lesion,Endothelial_cells,69,72.464,1.61742,1.71984
FN1,Subcutaneous metastasis,Metastatic_lesion,Fibroblasts,169,92.899,2.94406,3.04167
FN1,Subcutaneous metastasis,Metastatic_lesion,Mast_cells,94,73.404,2.16265,2.63957
FN1,Subcutaneous metastasis,Metastatic_lesion,Myeloid_cells,956,61.611,0.86184,0.61452
FN1,Subcutaneous metastasis,Metastatic_lesion,Pericyte_smooth_muscle,74,93.243,3.00029,3.1948
FN1,Subcutaneous metastasis,Metastatic_lesion,Plasma_cells,181,38.674,0.53574,0
FN1,Subcutaneous metastasis,Metastatic_lesion,Proliferating_cells,545,79.266,2.49463,3.06334
FN1,Subcutaneous metastasis,Metastatic_lesion,T_NK_cells,2749,19.352,0.30847,0
FN1,Subcutaneous metastasis,Metastatic_lesion,Thyroid_epithelial,4862,99.527,3.68631,3.7103
FN1,Paratumor,Primary_vs_paratumor,B_cells,13915,0.762,0.01254,0
FN1,Paratumor,Primary_vs_paratumor,Dendritic_cells,2601,1.423,0.02469,0
FN1,Paratumor,Primary_vs_paratumor,Endothelial_cells,1998,65.115,1.75549,2.09262
FN1,Paratumor,Primary_vs_paratumor,Fibroblasts,240,65.833,1.93284,2.36205
FN1,Paratumor,Primary_vs_paratumor,Mast_cells,415,7.229,0.14247,0
FN1,Paratumor,Primary_vs_paratumor,Myeloid_cells,1271,34.225,0.6396,0
FN1,Paratumor,Primary_vs_paratumor,Pericyte_smooth_muscle,89,8.989,0.18239,0
FN1,Paratumor,Primary_vs_paratumor,Plasma_cells,2549,1.02,0.01498,0
FN1,Paratumor,Primary_vs_paratumor,Proliferating_cells,1399,3.288,0.06604,0
FN1,Paratumor,Primary_vs_paratumor,T_NK_cells,19425,1.004,0.01628,0
FN1,Paratumor,Primary_vs_paratumor,Thyroid_epithelial,6792,13.104,0.25271,0
FN1,Primary tumor,Primary_vs_paratumor,B_cells,6209,23.691,0.89262,0
FN1,Primary tumor,Primary_vs_paratumor,Dendritic_cells,1266,35.466,1.26801,0
FN1,Primary tumor,Primary_vs_paratumor,Endothelial_cells,1887,37.096,1.01475,0
FN1,Primary tumor,Primary_vs_paratumor,Fibroblasts,2147,81.276,2.89373,3.20262
FN1,Primary tumor,Primary_vs_paratumor,Mast_cells,334,58.982,1.90449,1.98141
FN1,Primary tumor,Primary_vs_paratumor,Myeloid_cells,11792,45.853,1.35865,0
FN1,Primary tumor,Primary_vs_paratumor,Pericyte_smooth_muscle,2708,51.883,1.14403,0.89846
FN1,Primary tumor,Primary_vs_paratumor,Plasma_cells,4945,52.133,1.95832,2.05744
FN1,Primary tumor,Primary_vs_paratumor,Proliferating_cells,2364,47.547,1.65694,0
FN1,Primary tumor,Primary_vs_paratumor,T_NK_cells,14657,8.781,0.25119,0
FN1,Primary tumor,Primary_vs_paratumor,Thyroid_epithelial,17436,91.345,3.35158,3.70866
