ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030168	platelet activation	4/74	133/18870	0.0018534549114527	0.0052286640515579	0.0020204663659514	COL3A1/IL6/MAPK14/NOS3	4
BP	GO:0043271	negative regulation of monoatomic ion transport	4/74	133/18870	0.0018534549114527	0.0052286640515579	0.0020204663659514	BCL2/NOS3/PTGS2/TLR9	4
BP	GO:0022617	extracellular matrix disassembly	3/74	62/18870	0.0018546183648253	0.0052286640515579	0.0020204663659514	IL6/MMP2/TGFB1	3
BP	GO:0051348	negative regulation of transferase activity	5/74	225/18870	0.0019044173325471	0.0053644873243044	0.0020729513509479	AKT1/CDKN1A/CDKN2A/IL1B/TP53	5
BP	GO:0042180	cellular ketone metabolic process	5/74	226/18870	0.0019416331153559	0.0054422627029342	0.0021030054020537	AKT1/CYP17A1/CYP19A1/IL1B/PTGS2	5
BP	GO:0032623	interleukin-2 production	3/74	63/18870	0.0019419020228189	0.0054422627029342	0.0021030054020537	IL1A/IL1B/TNFAIP3	3
BP	GO:0032663	regulation of interleukin-2 production	3/74	63/18870	0.0019419020228189	0.0054422627029342	0.0021030054020537	IL1A/IL1B/TNFAIP3	3
BP	GO:0071715	icosanoid transport	3/74	63/18870	0.0019419020228189	0.0054422627029342	0.0021030054020537	IL1A/IL1B/PTGS2	3
BP	GO:0140895	cell surface toll-like receptor signaling pathway	3/74	63/18870	0.0019419020228189	0.0054422627029342	0.0021030054020537	PIK3R1/RELA/TNFAIP3	3
BP	GO:2000179	positive regulation of neural precursor cell proliferation	3/74	63/18870	0.0019419020228189	0.0054422627029342	0.0021030054020537	HIF1A/KDM1A/SHH	3
BP	GO:0031570	DNA integrity checkpoint signaling	4/74	135/18870	0.0019572798101992	0.0054807149299991	0.002117864155784	CDKN1A/H2AX/MAPK14/TP53	4
BP	GO:0006869	lipid transport	7/74	453/18870	0.001976309366542	0.0054917981127157	0.0021221469319742	AKT1/CYP19A1/IL1A/IL1B/NFKB1/PTGS2/SHH	7
BP	GO:0046394	carboxylic acid biosynthetic process	6/74	334/18870	0.0019826509672026	0.0054917981127157	0.0021221469319742	CYP1A2/CYP2D6/GPX4/IL1B/PTGS1/PTGS2	6
BP	GO:0007252	I-kappaB phosphorylation	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	AKT1/TNF	2
BP	GO:0010831	positive regulation of myotube differentiation	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	MAPK14/MTOR	2
BP	GO:0030889	negative regulation of B cell proliferation	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	CASP3/IL10	2
BP	GO:0032780	negative regulation of ATP-dependent activity	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	TLR9/TP53	2
BP	GO:0060644	mammary gland epithelial cell differentiation	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	AKT1/HIF1A	2
BP	GO:0072074	kidney mesenchyme development	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	MYC/SHH	2
BP	GO:0097396	response to interleukin-17	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	IL1B/NFKB1	2
BP	GO:0097398	cellular response to interleukin-17	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	IL1B/NFKB1	2
BP	GO:0120305	regulation of pigmentation	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	BAX/BCL2	2
BP	GO:1901550	regulation of endothelial cell development	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	IL1B/TNF	2
BP	GO:1902165	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	BCL2/KDM1A	2
BP	GO:1903140	regulation of establishment of endothelial barrier	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	IL1B/TNF	2
BP	GO:1904355	positive regulation of telomere capping	2/74	17/18870	0.0019861477299087	0.0054917981127157	0.0021221469319742	MAPK1/MAPK3	2
BP	GO:0001885	endothelial cell development	3/74	64/18870	0.0020317071240052	0.0055943842290469	0.0021617883768284	GPX1/IL1B/TNF	3
BP	GO:0002712	regulation of B cell mediated immunity	3/74	64/18870	0.0020317071240052	0.0055943842290469	0.0021617883768284	IL10/TGFB1/TNF	3
BP	GO:0002889	regulation of immunoglobulin mediated immune response	3/74	64/18870	0.0020317071240052	0.0055943842290469	0.0021617883768284	IL10/TGFB1/TNF	3
BP	GO:0019229	regulation of vasoconstriction	3/74	64/18870	0.0020317071240052	0.0055943842290469	0.0021617883768284	CASR/MMP2/PTGS2	3
BP	GO:1904036	negative regulation of epithelial cell apoptotic process	3/74	64/18870	0.0020317071240052	0.0055943842290469	0.0021617883768284	BCL2/NFE2L2/TNFAIP3	3
BP	GO:0040029	epigenetic regulation of gene expression	5/74	229/18870	0.0020564805563456	0.0056578878534401	0.0021863275202764	GPX1/HDAC4/KDM1A/MYC/TP53	5
BP	GO:0016053	organic acid biosynthetic process	6/74	337/18870	0.0020736065260904	0.0057002633265012	0.0022027022992288	CYP1A2/CYP2D6/GPX4/IL1B/PTGS1/PTGS2	6
BP	GO:0010812	negative regulation of cell-substrate adhesion	3/74	65/18870	0.0021240591775077	0.0058196053852676	0.0022488185945967	CDKN2A/COL1A1/PIK3R1	3
BP	GO:0072666	establishment of protein localization to vacuole	3/74	65/18870	0.0021240591775077	0.0058196053852676	0.0022488185945967	BECN1/SQSTM1/TNFAIP3	3
BP	GO:1905330	regulation of morphogenesis of an epithelium	3/74	65/18870	0.0021240591775077	0.0058196053852676	0.0022488185945967	ESR1/SHH/TNF	3
BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	3/74	65/18870	0.0021240591775077	0.0058196053852676	0.0022488185945967	AKT1/GPX1/TNF	3
BP	GO:0016055	Wnt signaling pathway	7/74	459/18870	0.0021283917921547	0.005826648722397	0.0022515402890169	COL1A1/DDIT3/MAPK14/NFKB1/SHH/TGFB1/TNFAIP3	7
BP	GO:0198738	cell-cell signaling by wnt	7/74	461/18870	0.0021810537104572	0.0059658764437403	0.0023053408249489	COL1A1/DDIT3/MAPK14/NFKB1/SHH/TGFB1/TNFAIP3	7
