"Rank","Gene","Relevance_score"
"251","IDH1","46.7955131530762"
"252","IFNG","46.7314376831055"
"253","MIR126","46.618896484375"
"254","CDR1-AS","46.613883972168"
"255","FOXO1","46.5054168701172"
"256","CCAT1","46.457935333252"
"257","FOXP3","46.4299278259277"
"258","MMP9","46.3759307861328"
"259","SPOP","46.3641700744629"
"260","NCOA4","46.2723083496094"
"261","DHFR","46.2397270202637"
"262","PIK3CG","46.2202453613281"
"263","MIR155","46.1584167480469"
"264","ERCC5","45.9724464416504"
"265","DUXAP8","45.8713989257813"
"266","MIR205","45.8008079528809"
"267","RAD51B","45.6182174682617"
"268","MIR214","45.461669921875"
"269","NKX2-5","45.4011917114258"
"270","TSHR-AS1","45.400520324707"
"271","IGF2","45.3920669555664"
"272","MIR195","45.3784484863281"
"273","KLLN","45.1134605407715"
"274","NCOR1","44.9993515014648"
"275","FER1L4","44.9982604980469"
"276","JUN","44.9618759155273"
"277","MIR34A","44.918155670166"
"278","IL10","44.8225135803223"
"279","TP63","44.8084487915039"
"280","CDK12","44.733081817627"
"281","ARAP1-AS1","44.7288017272949"
"282","AURKA","44.6996536254883"
"283","HOXA-AS2","44.5718994140625"
"284","MIR31HG","44.5380020141602"
"285","JAK2","44.5201950073242"
"286","CREBBP","44.4110679626465"
"287","TH2LCRR","44.3894920349121"
"288","LUCAT1","44.3787155151367"
"289","CALCA","44.3746032714844"
"290","LINC00261","44.260814666748"
"291","EGF","44.1749725341797"
"292","CDKN1C","44.0122032165527"
"293","PTPN11","43.9962348937988"
"294","PCA3","43.9691696166992"
"295","LINC00958","43.965648651123"
"296","IL1RN","43.9296607971191"
"297","ABCB1","43.8656845092773"
"298","DNMT3A","43.8594131469727"
"299","MIRLET7C","43.8312149047852"
"300","PPM1D","43.796028137207"
"301","GATA3","43.7665023803711"
"302","MIR141","43.524471282959"
"303","FLT1","43.4296035766602"
"304","FALEC","43.4239654541016"
"305","FTX","43.3445739746094"
"306","GATA2","43.2286224365234"
"307","SHC1","43.1992568969727"
"308","XRCC3","43.0969924926758"
"309","RECQL","43.0538444519043"
"310","XRCC1","42.9685859680176"
"311","MIR183","42.7918014526367"
"312","XPC","42.7215423583984"
"313","CCDC6","42.6872406005859"
"314","SMAD2","42.6544952392578"
"315","GHET1","42.5990447998047"
"316","SOD2","42.5417747497559"
"317","NBR2","42.4439392089844"
"318","FGD5-AS1","42.4134826660156"
"319","ERCC1","42.3504638671875"
"320","GLI1","42.2863540649414"
"321","SNAI1","42.2615280151367"
"322","NFKB1","42.2472801208496"
"323","SOX2","42.2415618896484"
"324","LGALS3","42.2288970947266"
"325","LINC00324","42.1879386901855"
"326","AKT3","42.0937194824219"
"327","CASR","42.0708274841309"
"328","EGFR-AS1","42.0000953674316"
"329","MGMT","41.9158973693848"
"330","MIR27A","41.7570610046387"
"331","NR2F1-AS1","41.7397079467773"
"332","PRKDC","41.6437530517578"
"333","TFF1","41.6160926818848"
"334","ERCC4","41.6153450012207"
"335","SNHG16","41.5220947265625"
"336","PARP1","41.4333381652832"
"337","FOXD3-AS1","41.2440414428711"
"338","ETV6","41.1816864013672"
"339","KRT7","41.1154479980469"
"340","NRG1","41.0916862487793"
"341","MIR199A1","41.0109939575195"
"342","LINC-PINT","40.9900512695313"
"343","SMO","40.9238204956055"
"344","RARB","40.7451286315918"
"345","PAX8-AS1","40.6681900024414"
"346","MIR182","40.5759811401367"
"347","VEGFC","40.5719985961914"
"348","MIR34C","40.5408668518066"
"349","FOXP4-AS1","40.5142250061035"
"350","LINC01614","40.4628143310547"
"351","DNMT1","40.3894309997559"
"352","KEAP1","40.3889770507813"
"353","IDH2","40.3323173522949"
"354","VDR","40.3029098510742"
"355","ZFPM2-AS1","40.2901992797852"
"356","PALLD","40.2575950622559"
"357","KRT20","40.2370529174805"
"358","OIP5-AS1","40.2331275939941"
"359","MIR20A","40.2266159057617"
"360","MIR200A","40.1954498291016"
