Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
JAG1,790,27.5863151550293,Yes,No,"GeneCards top 2,000"
LINC00662,791,27.5660018920898,Yes,No,"GeneCards top 2,000"
MIR192,792,27.553295135498,Yes,No,"GeneCards top 2,000"
HAND2-AS1,793,27.5532760620117,Yes,No,"GeneCards top 2,000"
PCM1,794,27.5357818603516,Yes,No,"GeneCards top 2,000"
MAPK14,795,27.5278549194336,Yes,No,"GeneCards top 2,000"
CCL5,796,27.5256080627441,Yes,No,"GeneCards top 2,000"
CLPTM1L,797,27.4994869232178,Yes,No,"GeneCards top 2,000"
MXI1,798,27.4975738525391,Yes,No,"GeneCards top 2,000"
TIMP3,799,27.4955577850342,Yes,No,"GeneCards top 2,000"
HLA-A,800,27.4571685791016,Yes,No,"GeneCards top 2,000"
EXT2,801,27.4472999572754,Yes,No,"GeneCards top 2,000"
MILIP,802,27.4361934661865,Yes,No,"GeneCards top 2,000"
BMI1,803,27.4135780334473,Yes,No,"GeneCards top 2,000"
CTSB,804,27.3794937133789,Yes,No,"GeneCards top 2,000"
CTCF,805,27.3756694793701,Yes,No,"GeneCards top 2,000"
ITGA5,806,27.3730640411377,Yes,No,"GeneCards top 2,000"
LINC00488,807,27.3635864257813,Yes,No,"GeneCards top 2,000"
LOC130001603,808,27.3448963165283,Yes,No,"GeneCards top 2,000"
MBD4,809,27.341682434082,Yes,No,"GeneCards top 2,000"
SPINK1,810,27.3373012542725,Yes,No,"GeneCards top 2,000"
ABL1,811,27.3297538757324,Yes,No,"GeneCards top 2,000"
THRAP3,812,27.3171348571777,Yes,Yes,"GeneCards top 2,000 + OMIM"
MIR494,813,27.312915802002,Yes,No,"GeneCards top 2,000"
MIR7-3HG,814,27.3099689483643,Yes,No,"GeneCards top 2,000"
FLVCR1-DT,815,27.3002872467041,Yes,No,"GeneCards top 2,000"
SEC23B,816,27.2924976348877,Yes,No,"GeneCards top 2,000"
BTK,817,27.2845115661621,Yes,No,"GeneCards top 2,000"
RUNX3,818,27.2778244018555,Yes,Yes,"GeneCards top 2,000 + OMIM"
MIR30D,819,27.2652473449707,Yes,No,"GeneCards top 2,000"
PLAUR,820,27.2374172210693,Yes,No,"GeneCards top 2,000"
DDR2,821,27.2058143615723,Yes,No,"GeneCards top 2,000"
FLT3,822,27.1906127929688,Yes,No,"GeneCards top 2,000"
PDPN,823,27.1794719696045,Yes,No,"GeneCards top 2,000"
MIR370,824,27.1791114807129,Yes,No,"GeneCards top 2,000"
MIR193A,825,27.1526165008545,Yes,No,"GeneCards top 2,000"
DRAIC,826,27.1340103149414,Yes,No,"GeneCards top 2,000"
LNC-LBCS,827,27.086893081665,Yes,No,"GeneCards top 2,000"
MCC,828,27.077751159668,Yes,No,"GeneCards top 2,000"
DIO3,829,27.0301895141602,Yes,No,"GeneCards top 2,000"
CDX2,830,26.9910869598389,Yes,No,"GeneCards top 2,000"
PAK4,831,26.9777946472168,Yes,No,"GeneCards top 2,000"
NT5E,832,26.9628200531006,Yes,No,"GeneCards top 2,000"
AURKB,833,26.9443626403809,Yes,No,"GeneCards top 2,000"
TOP1,834,26.9284572601318,Yes,No,"GeneCards top 2,000"
LINC02605,835,26.8946495056152,Yes,No,"GeneCards top 2,000"
IQANK1,836,26.8698024749756,Yes,No,"GeneCards top 2,000"
DUOX1,837,26.8155994415283,Yes,No,"GeneCards top 2,000"
TRIM27,838,26.797981262207,Yes,No,"GeneCards top 2,000"
CRP,839,26.7879028320313,Yes,No,"GeneCards top 2,000"
TFF3,840,26.7641735076904,Yes,No,"GeneCards top 2,000"
MAD1L1,841,26.7482681274414,Yes,No,"GeneCards top 2,000"
ABCC4,842,26.6931343078613,Yes,No,"GeneCards top 2,000"
ENO2,843,26.6607513427734,Yes,No,"GeneCards top 2,000"
ADAMTS9-AS2,844,26.6441802978516,Yes,No,"GeneCards top 2,000"
MYD88,845,26.6428184509277,Yes,No,"GeneCards top 2,000"
NOTCH2,846,26.6294631958008,Yes,No,"GeneCards top 2,000"
MIR128-1,847,26.6198425292969,Yes,No,"GeneCards top 2,000"
FADD,848,26.6178970336914,Yes,No,"GeneCards top 2,000"
RB1CC1,849,26.6137599945068,Yes,No,"GeneCards top 2,000"
FBN1,850,26.5807189941406,Yes,No,"GeneCards top 2,000"
TNFRSF10A,851,26.5770740509033,Yes,No,"GeneCards top 2,000"
BCL6,852,26.5717964172363,Yes,No,"GeneCards top 2,000"
DPP4,853,26.553014755249,Yes,No,"GeneCards top 2,000"
CALR,854,26.5407733917236,Yes,No,"GeneCards top 2,000"
PART1,855,26.5369606018066,Yes,No,"GeneCards top 2,000"
CYP3A4,856,26.5261459350586,Yes,No,"GeneCards top 2,000"
ENSG00000214797,857,26.5156955718994,Yes,No,"GeneCards top 2,000"
MIRLET7F1,858,26.4859771728516,Yes,No,"GeneCards top 2,000"
RPS6KB1,859,26.4818115234375,Yes,No,"GeneCards top 2,000"
LOC130004273,860,26.4763507843018,Yes,No,"GeneCards top 2,000"
NFKB2,861,26.47434425354,Yes,No,"GeneCards top 2,000"
EPHA2,862,26.4475269317627,Yes,Yes,"GeneCards top 2,000 + OMIM"
TRIP6,863,26.414363861084,Yes,No,"GeneCards top 2,000"
LHX4,864,26.4121341705322,Yes,No,"GeneCards top 2,000"
ATP1A1-AS1,865,26.3820381164551,Yes,No,"GeneCards top 2,000"
IFNA1,866,26.3707389831543,Yes,No,"GeneCards top 2,000"
MIR144,867,26.3706169128418,Yes,No,"GeneCards top 2,000"
HDAC9,868,26.3653354644775,Yes,No,"GeneCards top 2,000"
TSPAN31,869,26.342845916748,Yes,No,"GeneCards top 2,000"
ODC1,870,26.3374633789063,Yes,No,"GeneCards top 2,000"
ID1,871,26.3365669250488,Yes,No,"GeneCards top 2,000"
JAK3,872,26.3268566131592,Yes,No,"GeneCards top 2,000"
CD8A,873,26.3033409118652,Yes,No,"GeneCards top 2,000"
LRBA,874,26.3018074035645,Yes,No,"GeneCards top 2,000"
HNF1A-AS1,875,26.2892169952393,Yes,No,"GeneCards top 2,000"
FASN,876,26.2754783630371,Yes,No,"GeneCards top 2,000"
MIR361,877,26.2708683013916,Yes,No,"GeneCards top 2,000"
LHX3,878,26.2704315185547,Yes,No,"GeneCards top 2,000"
MC1R,879,26.2676677703857,Yes,No,"GeneCards top 2,000"
GLI2,880,26.2556953430176,Yes,No,"GeneCards top 2,000"
NOTCH3,881,26.2531089782715,Yes,No,"GeneCards top 2,000"
SLC67A1,882,26.2356567382813,Yes,No,"GeneCards top 2,000"
H2AX,883,26.2248458862305,Yes,No,"GeneCards top 2,000"
LEF1,884,26.2211017608643,Yes,No,"GeneCards top 2,000"
MUC6,885,26.2187404632568,Yes,No,"GeneCards top 2,000"
TET2,886,26.2151775360107,Yes,No,"GeneCards top 2,000"
TSG101,887,26.1729946136475,Yes,No,"GeneCards top 2,000"
AHR,888,26.1621780395508,Yes,No,"GeneCards top 2,000"
MIR206,889,26.1594715118408,Yes,No,"GeneCards top 2,000"
ZEB2-AS1,890,26.1541576385498,Yes,No,"GeneCards top 2,000"
MAPK10,891,26.1327381134033,Yes,No,"GeneCards top 2,000"
MIR24-2,892,26.1316299438477,Yes,No,"GeneCards top 2,000"
WNT5A,893,26.094612121582,Yes,No,"GeneCards top 2,000"
LOC107303338,894,26.0843048095703,Yes,No,"GeneCards top 2,000"
CYCS,895,26.0712127685547,Yes,No,"GeneCards top 2,000"
SPRY4-IT1,896,26.0485610961914,Yes,No,"GeneCards top 2,000"
HAGLROS,897,26.0378189086914,Yes,No,"GeneCards top 2,000"
PTPRJ,898,26.0355968475342,Yes,No,"GeneCards top 2,000"
SYP,899,26.0217800140381,Yes,No,"GeneCards top 2,000"
SMARCA5,900,26.0047416687012,Yes,No,"GeneCards top 2,000"
AIRE,901,25.9875965118408,Yes,No,"GeneCards top 2,000"
IL17A,902,25.9671669006348,Yes,No,"GeneCards top 2,000"
BCL2L11,903,25.9362888336182,Yes,No,"GeneCards top 2,000"
CYP1B1,904,25.934642791748,Yes,No,"GeneCards top 2,000"
DAPK1,905,25.9212837219238,Yes,No,"GeneCards top 2,000"
EPHB4,906,25.8651752471924,Yes,No,"GeneCards top 2,000"
MIR107,907,25.8596305847168,Yes,No,"GeneCards top 2,000"
ERC1,908,25.8581485748291,Yes,No,"GeneCards top 2,000"
SHBG,909,25.8165130615234,Yes,No,"GeneCards top 2,000"
SRD5A2,910,25.8129844665527,Yes,No,"GeneCards top 2,000"
GSTM3,911,25.8051357269287,Yes,No,"GeneCards top 2,000"
THBS1,912,25.7947940826416,Yes,No,"GeneCards top 2,000"
HCG11,913,25.7926540374756,Yes,No,"GeneCards top 2,000"
GFRA1,914,25.7775897979736,Yes,No,"GeneCards top 2,000"
HMGB1,915,25.7644500732422,Yes,No,"GeneCards top 2,000"
BAD,916,25.7538375854492,Yes,No,"GeneCards top 2,000"
ABCC6P1,917,25.7488079071045,Yes,No,"GeneCards top 2,000"
LINC00210,918,25.7471389770508,Yes,No,"GeneCards top 2,000"
LOC129933707,919,25.7464542388916,Yes,No,"GeneCards top 2,000"
PRKCD,920,25.744815826416,Yes,No,"GeneCards top 2,000"
ELAVL1,921,25.7405242919922,Yes,No,"GeneCards top 2,000"
DPYD,922,25.7363338470459,Yes,Yes,"GeneCards top 2,000 + OMIM"
BAK1,923,25.722599029541,Yes,No,"GeneCards top 2,000"
BGLT3,924,25.6919860839844,Yes,No,"GeneCards top 2,000"
HDAC4,925,25.681583404541,Yes,No,"GeneCards top 2,000"
TBX3,926,25.6781845092773,Yes,No,"GeneCards top 2,000"
LINC00467,927,25.6713619232178,Yes,No,"GeneCards top 2,000"
CDC25A,928,25.6638145446777,Yes,No,"GeneCards top 2,000"
LMOD1,929,25.6520957946777,Yes,No,"GeneCards top 2,000"
MIR212,930,25.6458625793457,Yes,No,"GeneCards top 2,000"
CP,931,25.6100654602051,Yes,No,"GeneCards top 2,000"
SMARCA2,932,25.5618457794189,Yes,No,"GeneCards top 2,000"
BMP7,933,25.5604515075684,Yes,No,"GeneCards top 2,000"
BECN1,934,25.5602340698242,Yes,No,"GeneCards top 2,000"
STAT5A,935,25.5552883148193,Yes,No,"GeneCards top 2,000"
ACTB,936,25.554801940918,Yes,No,"GeneCards top 2,000"
SKP2,937,25.5498237609863,Yes,No,"GeneCards top 2,000"
TRIP4,938,25.5394992828369,Yes,No,"GeneCards top 2,000"
ATG5,939,25.5254421234131,Yes,No,"GeneCards top 2,000"
GPER1,940,25.5075149536133,Yes,No,"GeneCards top 2,000"
GNAS-AS1,941,25.497917175293,Yes,No,"GeneCards top 2,000"
NCOA2,942,25.47802734375,Yes,No,"GeneCards top 2,000"
APOB,943,25.4724445343018,Yes,No,"GeneCards top 2,000"
PLK1,944,25.4512233734131,Yes,No,"GeneCards top 2,000"
CDH23,945,25.4280815124512,Yes,No,"GeneCards top 2,000"
MIR542,946,25.418643951416,Yes,No,"GeneCards top 2,000"
MIR339,947,25.3939838409424,Yes,No,"GeneCards top 2,000"
GH1,948,25.3501224517822,Yes,No,"GeneCards top 2,000"
FOXP1,949,25.3254680633545,Yes,No,"GeneCards top 2,000"
MIR32,950,25.2867889404297,Yes,No,"GeneCards top 2,000"
RUNX2,951,25.2807731628418,Yes,No,"GeneCards top 2,000"
KAT7,952,25.2538547515869,Yes,No,"GeneCards top 2,000"
LGALS1,953,25.2270126342773,Yes,No,"GeneCards top 2,000"
BMP2,954,25.2021369934082,Yes,No,"GeneCards top 2,000"
TIMP2,955,25.1905746459961,Yes,No,"GeneCards top 2,000"
ATP7B,956,25.1686401367188,Yes,No,"GeneCards top 2,000"
PPP2R1A,957,25.1596069335938,Yes,No,"GeneCards top 2,000"
MPO,958,25.1559028625488,Yes,No,"GeneCards top 2,000"
MIR181A2,959,25.1557235717773,Yes,No,"GeneCards top 2,000"
GDF15,960,25.1523971557617,Yes,No,"GeneCards top 2,000"
GNB1,961,25.1455554962158,Yes,Yes,"GeneCards top 2,000 + OMIM"
GLI3,962,25.1382598876953,Yes,No,"GeneCards top 2,000"
MAP3K8,963,25.1092586517334,Yes,No,"GeneCards top 2,000"
TGFB2,964,25.1063461303711,Yes,No,"GeneCards top 2,000"
CTSD,965,25.1058731079102,Yes,No,"GeneCards top 2,000"
IRS1,966,25.1010818481445,Yes,No,"GeneCards top 2,000"
SLC7A5,967,25.0987129211426,Yes,No,"GeneCards top 2,000"
STAT6,968,25.0883407592773,Yes,No,"GeneCards top 2,000"
ABCA1,969,25.0573654174805,Yes,No,"GeneCards top 2,000"
PLAT,970,25.0403594970703,Yes,No,"GeneCards top 2,000"
ZNF276,971,25.0374031066895,Yes,No,"GeneCards top 2,000"
BRMS1,972,25.0239791870117,Yes,No,"GeneCards top 2,000"
MIR181C,973,24.9934616088867,Yes,No,"GeneCards top 2,000"
MIR155HG,974,24.9909706115723,Yes,No,"GeneCards top 2,000"
MIR342,975,24.9818649291992,Yes,No,"GeneCards top 2,000"
CATIP-AS1,976,24.9782371520996,Yes,No,"GeneCards top 2,000"
NKILA,977,24.9718151092529,Yes,No,"GeneCards top 2,000"
HFE,978,24.9711570739746,Yes,No,"GeneCards top 2,000"
EGR1,979,24.8939990997314,Yes,No,"GeneCards top 2,000"
CKS1B,980,24.8726863861084,Yes,No,"GeneCards top 2,000"
DDIT3,981,24.8653678894043,Yes,No,"GeneCards top 2,000"
CSF3,982,24.8586502075195,Yes,No,"GeneCards top 2,000"
RUNDC3A-AS1,983,24.8544578552246,Yes,No,"GeneCards top 2,000"
XRCC5,984,24.8370780944824,Yes,No,"GeneCards top 2,000"
TCF3,985,24.8300170898438,Yes,No,"GeneCards top 2,000"
SULT1A1,986,24.829231262207,Yes,No,"GeneCards top 2,000"
ZFAT,987,24.8224124908447,Yes,No,"GeneCards top 2,000"
EWSR1,988,24.8028621673584,Yes,No,"GeneCards top 2,000"
PTTG1,989,24.8009910583496,Yes,No,"GeneCards top 2,000"
SNHG4,990,24.8007869720459,Yes,No,"GeneCards top 2,000"
ITGA2,991,24.7690105438232,Yes,No,"GeneCards top 2,000"
MIR193B,992,24.7620239257813,Yes,No,"GeneCards top 2,000"
GAPDH,993,24.7571296691895,Yes,No,"GeneCards top 2,000"
GRB2,994,24.7513866424561,Yes,No,"GeneCards top 2,000"
CYP2A6,995,24.7479000091553,Yes,No,"GeneCards top 2,000"
SLC19A1,996,24.7406444549561,Yes,No,"GeneCards top 2,000"
GHRL,997,24.7383975982666,Yes,No,"GeneCards top 2,000"
LINC00473,998,24.7375583648682,Yes,No,"GeneCards top 2,000"
LINC01311,999,24.7067909240723,Yes,No,"GeneCards top 2,000"
ZFHX3,1000,24.6986198425293,Yes,No,"GeneCards top 2,000"
COL1A1,1001,24.6923522949219,Yes,No,"GeneCards top 2,000"
IGF2R,1002,24.6866970062256,Yes,No,"GeneCards top 2,000"
PCLAF,1003,24.6722373962402,Yes,No,"GeneCards top 2,000"
MAPK8,1004,24.6563911437988,Yes,No,"GeneCards top 2,000"
CA9,1005,24.6433868408203,Yes,No,"GeneCards top 2,000"
CEP128,1006,24.636209487915,Yes,No,"GeneCards top 2,000"
CTAG2,1007,24.5941772460938,Yes,No,"GeneCards top 2,000"
IGF2-AS,1008,24.5638904571533,Yes,No,"GeneCards top 2,000"
DDX11-AS1,1009,24.5598621368408,Yes,No,"GeneCards top 2,000"
TYMP,1010,24.5585613250732,Yes,No,"GeneCards top 2,000"
MIR22HG,1011,24.541971206665,Yes,No,"GeneCards top 2,000"
MIR483,1012,24.5067119598389,Yes,No,"GeneCards top 2,000"
ROBO1,1013,24.4862003326416,Yes,No,"GeneCards top 2,000"
CCN2,1014,24.4820022583008,Yes,No,"GeneCards top 2,000"
ADNP,1015,24.4794082641602,Yes,No,"GeneCards top 2,000"
PDCD1LG2,1016,24.4535865783691,Yes,No,"GeneCards top 2,000"
LEF1-AS1,1017,24.4383945465088,Yes,No,"GeneCards top 2,000"
PRF1,1018,24.4032459259033,Yes,No,"GeneCards top 2,000"
CTNND1,1019,24.3959655761719,Yes,No,"GeneCards top 2,000"
ADA,1020,24.3847770690918,Yes,No,"GeneCards top 2,000"
MIR26A1,1021,24.344898223877,Yes,No,"GeneCards top 2,000"
PRKACA,1022,24.3398284912109,Yes,No,"GeneCards top 2,000"
SQSTM1,1023,24.3344039916992,Yes,No,"GeneCards top 2,000"
IKBKB,1024,24.3320274353027,Yes,No,"GeneCards top 2,000"
TNFAIP3,1025,24.3237628936768,Yes,No,"GeneCards top 2,000"
GIHCG,1026,24.3156719207764,Yes,No,"GeneCards top 2,000"
MISFA,1027,24.3053951263428,Yes,No,"GeneCards top 2,000"
DKK1,1028,24.2846355438232,Yes,No,"GeneCards top 2,000"
FENDRR,1029,24.2797889709473,Yes,No,"GeneCards top 2,000"
TRRAP,1030,24.2688884735107,Yes,No,"GeneCards top 2,000"
PTCSC2,1031,24.2668170928955,Yes,No,"GeneCards top 2,000"
GAST,1032,24.2380332946777,Yes,No,"GeneCards top 2,000"
IGF2BP3,1033,24.2294521331787,Yes,No,"GeneCards top 2,000"
RIPK1,1034,24.2287750244141,Yes,No,"GeneCards top 2,000"
MIR100HG,1035,24.2273807525635,Yes,No,"GeneCards top 2,000"
CSF1,1036,24.1716651916504,Yes,No,"GeneCards top 2,000"
NR4A1,1037,24.1355857849121,Yes,No,"GeneCards top 2,000"
CSF1R,1038,24.1071739196777,Yes,No,"GeneCards top 2,000"
SCHLAP1,1039,24.0873565673828,Yes,No,"GeneCards top 2,000"
MBNL1-AS1,1040,24.0865745544434,Yes,No,"GeneCards top 2,000"
POU5F1,1041,24.0753536224365,Yes,No,"GeneCards top 2,000"
ACVR1B,1042,24.0695343017578,Yes,No,"GeneCards top 2,000"
DSCAM-AS1,1043,24.0675811767578,Yes,No,"GeneCards top 2,000"
MUC5AC,1044,24.0673580169678,Yes,No,"GeneCards top 2,000"
MAPK8IP1P2,1045,24.0639343261719,Yes,No,"GeneCards top 2,000"
EPIC1,1046,24.0574913024902,Yes,No,"GeneCards top 2,000"
EIF2AK3,1047,24.0558681488037,Yes,No,"GeneCards top 2,000"
DDR1,1048,24.043270111084,Yes,No,"GeneCards top 2,000"
CCNA2,1049,24.038013458252,Yes,No,"GeneCards top 2,000"
EGFEM1P,1050,24.0355262756348,Yes,No,"GeneCards top 2,000"
HMGA1,1051,24.0340404510498,Yes,No,"GeneCards top 2,000"
STAG2,1052,24.0324878692627,Yes,No,"GeneCards top 2,000"
CXCR3,1053,24.0247383117676,Yes,No,"GeneCards top 2,000"
POSTN,1054,24.0121116638184,Yes,No,"GeneCards top 2,000"
ALDH2,1055,24.005687713623,Yes,No,"GeneCards top 2,000"
PTCH2,1056,23.9976272583008,Yes,Yes,"GeneCards top 2,000 + OMIM"
NR3C1,1057,23.9737281799316,Yes,No,"GeneCards top 2,000"
MIR132,1058,23.9589385986328,Yes,No,"GeneCards top 2,000"
MIR574,1059,23.9467620849609,Yes,No,"GeneCards top 2,000"
SPARC,1060,23.9409980773926,Yes,No,"GeneCards top 2,000"
LINC00858,1061,23.9326553344727,Yes,No,"GeneCards top 2,000"
CBS,1062,23.9264011383057,Yes,No,"GeneCards top 2,000"
MIR30B,1063,23.9261436462402,Yes,No,"GeneCards top 2,000"
EPAS1,1064,23.9116840362549,Yes,No,"GeneCards top 2,000"
MIR95,1065,23.9087963104248,Yes,No,"GeneCards top 2,000"
SNHG11,1066,23.8983631134033,Yes,No,"GeneCards top 2,000"
TNFRSF8,1067,23.8973789215088,Yes,Yes,"GeneCards top 2,000 + OMIM"
MIR202,1068,23.8744792938232,Yes,No,"GeneCards top 2,000"
NEK9,1069,23.8633918762207,Yes,No,"GeneCards top 2,000"
CD36,1070,23.8617115020752,Yes,No,"GeneCards top 2,000"
NCOA6,1071,23.8531875610352,Yes,No,"GeneCards top 2,000"
ADAM17,1072,23.8523731231689,Yes,No,"GeneCards top 2,000"
KDM3A,1073,23.841983795166,Yes,No,"GeneCards top 2,000"
NMTC3,1074,23.8154144287109,Yes,No,"GeneCards top 2,000"
ETV4,1075,23.8110198974609,Yes,No,"GeneCards top 2,000"
TINF2,1076,23.8007297515869,Yes,No,"GeneCards top 2,000"
KDM4B,1077,23.786693572998,Yes,No,"GeneCards top 2,000"
UBE2C,1078,23.7779636383057,Yes,No,"GeneCards top 2,000"
AREG,1079,23.7445621490479,Yes,No,"GeneCards top 2,000"
EXT1,1080,23.7330856323242,Yes,No,"GeneCards top 2,000"
ACD,1081,23.7194118499756,Yes,No,"GeneCards top 2,000"
RHPN1-AS1,1082,23.7130603790283,Yes,No,"GeneCards top 2,000"
CCEPR,1083,23.7029685974121,Yes,No,"GeneCards top 2,000"
COMT,1084,23.6978073120117,Yes,No,"GeneCards top 2,000"
S100B,1085,23.6898880004883,Yes,No,"GeneCards top 2,000"
JUP,1086,23.6875534057617,Yes,No,"GeneCards top 2,000"
CERNA3,1087,23.6697387695313,Yes,No,"GeneCards top 2,000"
CYLD,1088,23.66579246521,Yes,No,"GeneCards top 2,000"
GRP,1089,23.662353515625,Yes,No,"GeneCards top 2,000"
MAGEA3,1090,23.6621875762939,Yes,No,"GeneCards top 2,000"
MIR130B,1091,23.6468124389648,Yes,No,"GeneCards top 2,000"
MAGI2-AS3,1092,23.6352672576904,Yes,No,"GeneCards top 2,000"
MIR92A1,1093,23.634464263916,Yes,No,"GeneCards top 2,000"
FGF3,1094,23.6262378692627,Yes,No,"GeneCards top 2,000"
ABCC2,1095,23.6240253448486,Yes,No,"GeneCards top 2,000"
IL18,1096,23.6186580657959,Yes,No,"GeneCards top 2,000"
LOC126860438,1097,23.6161231994629,Yes,No,"GeneCards top 2,000"
SSTR2,1098,23.6059341430664,Yes,No,"GeneCards top 2,000"
GC,1099,23.6031913757324,Yes,No,"GeneCards top 2,000"
DKC1,1100,23.5935573577881,Yes,No,"GeneCards top 2,000"
PTK6,1101,23.5915336608887,Yes,No,"GeneCards top 2,000"
SOCS3,1102,23.5245780944824,Yes,No,"GeneCards top 2,000"
CSF2,1103,23.5052604675293,Yes,No,"GeneCards top 2,000"
MIRLET7A3,1104,23.5001697540283,Yes,No,"GeneCards top 2,000"
IRS4,1105,23.4680004119873,Yes,No,"GeneCards top 2,000"
TNFRSF1A,1106,23.467887878418,Yes,No,"GeneCards top 2,000"
CHD1,1107,23.4314746856689,Yes,No,"GeneCards top 2,000"
ABCC6,1108,23.4261360168457,Yes,No,"GeneCards top 2,000"
PRSS1,1109,23.4255962371826,Yes,No,"GeneCards top 2,000"
GEN1,1110,23.4243545532227,Yes,No,"GeneCards top 2,000"
CD80,1111,23.4214973449707,Yes,No,"GeneCards top 2,000"
PDPK1,1112,23.4106884002686,Yes,No,"GeneCards top 2,000"
PLA2G2A,1113,23.3957614898682,Yes,Yes,"GeneCards top 2,000 + OMIM"
RAC1,1114,23.3865375518799,Yes,No,"GeneCards top 2,000"
GPX3,1115,23.3752288818359,Yes,No,"GeneCards top 2,000"
SLC5A8,1116,23.3385124206543,Yes,No,"GeneCards top 2,000"
PCSK9,1117,23.3280448913574,Yes,Yes,"GeneCards top 2,000 + OMIM"
LINC00607,1118,23.3237419128418,Yes,No,"GeneCards top 2,000"
ACTA2-AS1,1119,23.3071422576904,Yes,No,"GeneCards top 2,000"
TNFSF11,1120,23.2943897247314,Yes,No,"GeneCards top 2,000"
LDHA,1121,23.264102935791,Yes,No,"GeneCards top 2,000"
COL3A1,1122,23.2500705718994,Yes,No,"GeneCards top 2,000"
B2M,1123,23.2436962127686,Yes,No,"GeneCards top 2,000"
PTENP1,1124,23.2414989471436,Yes,No,"GeneCards top 2,000"
MIR181D,1125,23.2391510009766,Yes,No,"GeneCards top 2,000"
CTBP1-DT,1126,23.2308349609375,Yes,No,"GeneCards top 2,000"
RBBP8,1127,23.2195625305176,Yes,No,"GeneCards top 2,000"
PPARA,1128,23.2043056488037,Yes,No,"GeneCards top 2,000"
THORLNC,1129,23.2038974761963,Yes,No,"GeneCards top 2,000"
MME,1130,23.1633033752441,Yes,No,"GeneCards top 2,000"
NKX3-1,1131,23.1452751159668,Yes,No,"GeneCards top 2,000"
MUC4,1132,23.1349277496338,Yes,No,"GeneCards top 2,000"
BSG,1133,23.1255474090576,Yes,No,"GeneCards top 2,000"
PTK2B,1134,23.102108001709,Yes,No,"GeneCards top 2,000"
YBX1,1135,23.0852680206299,Yes,Yes,"GeneCards top 2,000 + OMIM"
VEGFD,1136,23.0643005371094,Yes,No,"GeneCards top 2,000"
SERPINB5,1137,23.061990737915,Yes,No,"GeneCards top 2,000"
SSTR1,1138,23.0588932037354,Yes,No,"GeneCards top 2,000"
CDC25C,1139,23.0560131072998,Yes,No,"GeneCards top 2,000"
CD28,1140,23.0296859741211,Yes,No,"GeneCards top 2,000"
PML,1141,23.0252532958984,Yes,No,"GeneCards top 2,000"
PAX5,1142,22.9893054962158,Yes,No,"GeneCards top 2,000"
HEIH,1143,22.9857902526855,Yes,No,"GeneCards top 2,000"
NEK2,1144,22.9773998260498,Yes,No,"GeneCards top 2,000"
GFRA3,1145,22.9701862335205,Yes,No,"GeneCards top 2,000"
GACAT1,1146,22.9683837890625,Yes,No,"GeneCards top 2,000"
LINC00518,1147,22.9546375274658,Yes,No,"GeneCards top 2,000"
MIR9-2HG,1148,22.9499988555908,Yes,No,"GeneCards top 2,000"
CCR7,1149,22.9469032287598,Yes,No,"GeneCards top 2,000"
PPARD,1150,22.9252166748047,Yes,No,"GeneCards top 2,000"
CD70,1151,22.924373626709,Yes,No,"GeneCards top 2,000"
CDC6,1152,22.9222049713135,Yes,No,"GeneCards top 2,000"
ITGB3,1153,22.9048023223877,Yes,No,"GeneCards top 2,000"
FOXA2,1154,22.8739051818848,Yes,No,"GeneCards top 2,000"
PPARGC1A,1155,22.8396377563477,Yes,No,"GeneCards top 2,000"
MT-CO1,1156,22.8348159790039,Yes,No,"GeneCards top 2,000"
YY1,1157,22.8177547454834,Yes,No,"GeneCards top 2,000"
NOS2,1158,22.7706909179688,Yes,No,"GeneCards top 2,000"
DUOXA1,1159,22.7679824829102,Yes,No,"GeneCards top 2,000"
TFRC,1160,22.7437210083008,Yes,No,"GeneCards top 2,000"
FGF7,1161,22.7426738739014,Yes,No,"GeneCards top 2,000"
PCAT18,1162,22.7409687042236,Yes,No,"GeneCards top 2,000"
KLF5,1163,22.7304534912109,Yes,No,"GeneCards top 2,000"
SH2B3,1164,22.7269763946533,Yes,No,"GeneCards top 2,000"
PSMA3-AS1,1165,22.7083988189697,Yes,No,"GeneCards top 2,000"
CASC21,1166,22.7063770294189,Yes,No,"GeneCards top 2,000"
PLCG1,1167,22.6884346008301,Yes,No,"GeneCards top 2,000"
CD24,1168,22.6748886108398,Yes,No,"GeneCards top 2,000"
LINC00857,1169,22.6651935577393,Yes,No,"GeneCards top 2,000"
MTDH,1170,22.6374435424805,Yes,No,"GeneCards top 2,000"
NSD2,1171,22.6318664550781,Yes,No,"GeneCards top 2,000"
MIR345,1172,22.6137657165527,Yes,No,"GeneCards top 2,000"
MIR498,1173,22.6103973388672,Yes,No,"GeneCards top 2,000"
ICOS,1174,22.6096572875977,Yes,No,"GeneCards top 2,000"
MIR425,1175,22.602518081665,Yes,No,"GeneCards top 2,000"
AFP,1176,22.595064163208,Yes,No,"GeneCards top 2,000"
CLDN1,1177,22.5578384399414,Yes,No,"GeneCards top 2,000"
MTR,1178,22.554220199585,Yes,No,"GeneCards top 2,000"
PELP1,1179,22.5493392944336,Yes,No,"GeneCards top 2,000"
VIM-AS1,1180,22.5257129669189,Yes,No,"GeneCards top 2,000"
TCF4,1181,22.5190620422363,Yes,No,"GeneCards top 2,000"
FGF10,1182,22.4667530059814,Yes,No,"GeneCards top 2,000"
