Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
PDCD1,145,59.6061248779297,Yes,No,"GeneCards top 2,000"
SRC,146,59.4809265136719,Yes,No,"GeneCards top 2,000"
CDKN1A,147,59.4131088256836,Yes,No,"GeneCards top 2,000"
FASLG,148,59.3410797119141,Yes,No,"GeneCards top 2,000"
CASC15,149,59.0210952758789,Yes,No,"GeneCards top 2,000"
ERCC2,150,58.6390991210938,Yes,No,"GeneCards top 2,000"
CASC9,151,58.2874183654785,Yes,No,"GeneCards top 2,000"
GREM1,152,58.1245956420898,Yes,No,"GeneCards top 2,000"
LRRC56,153,57.965145111084,Yes,No,"GeneCards top 2,000"
LINC00673,154,57.6755027770996,Yes,No,"GeneCards top 2,000"
SNHG7,155,57.3454742431641,Yes,No,"GeneCards top 2,000"
AIP,156,57.3359375,Yes,No,"GeneCards top 2,000"
HAGLR,157,57.2514877319336,Yes,No,"GeneCards top 2,000"
MAX,158,57.0974655151367,Yes,No,"GeneCards top 2,000"
EZH2,159,56.6943244934082,Yes,No,"GeneCards top 2,000"
HABP2,160,56.6264419555664,Yes,No,"GeneCards top 2,000"
DANCR,161,56.6077117919922,Yes,No,"GeneCards top 2,000"
XIST,162,56.433349609375,Yes,No,"GeneCards top 2,000"
FANCM,163,56.2388229370117,Yes,No,"GeneCards top 2,000"
NTRK3,164,55.9624404907227,Yes,No,"GeneCards top 2,000"
CHEK1,165,55.7503204345703,Yes,No,"GeneCards top 2,000"
FAS,166,55.6715240478516,Yes,No,"GeneCards top 2,000"
CCAT2,167,55.2358665466309,Yes,No,"GeneCards top 2,000"
RECQL4,168,55.2157402038574,Yes,No,"GeneCards top 2,000"
MIR30A,169,55.1857147216797,Yes,No,"GeneCards top 2,000"
PMS1,170,55.0151901245117,Yes,No,"GeneCards top 2,000"
EP300,171,54.9935493469238,Yes,No,"GeneCards top 2,000"
CYTOR,172,54.9282531738281,Yes,No,"GeneCards top 2,000"
GAS8-AS1,173,54.8370208740234,Yes,No,"GeneCards top 2,000"
MIR145,174,54.4777145385742,Yes,No,"GeneCards top 2,000"
FOXD2-AS1,175,54.4755592346191,Yes,No,"GeneCards top 2,000"
MAPK1,176,54.4028244018555,Yes,No,"GeneCards top 2,000"
BUB1B,177,54.3562889099121,Yes,No,"GeneCards top 2,000"
MIR146B,178,54.1777420043945,Yes,No,"GeneCards top 2,000"
MITF,179,54.0282974243164,Yes,No,"GeneCards top 2,000"
ERBB3,180,53.8957099914551,Yes,No,"GeneCards top 2,000"
SRGAP1,181,53.6976890563965,Yes,No,"GeneCards top 2,000"
CXCR4,182,53.6537628173828,Yes,No,"GeneCards top 2,000"
ITCH,183,53.4562377929688,Yes,No,"GeneCards top 2,000"
IGF1R,184,53.0658836364746,Yes,No,"GeneCards top 2,000"
PIK3R1,185,53.0161247253418,Yes,No,"GeneCards top 2,000"
MIR125A,186,52.9988479614258,Yes,No,"GeneCards top 2,000"
SLC16A2,187,52.8168144226074,Yes,No,"GeneCards top 2,000"
MUC16,188,52.645435333252,Yes,No,"GeneCards top 2,000"
IL1B,189,52.5759353637695,Yes,No,"GeneCards top 2,000"
ZFAS1,190,52.556209564209,Yes,No,"GeneCards top 2,000"
DGCR5,191,51.9646072387695,Yes,No,"GeneCards top 2,000"
MUC1,192,51.9495391845703,Yes,No,"GeneCards top 2,000"
IGF1,193,51.9350891113281,Yes,No,"GeneCards top 2,000"
AGO2,194,51.7508850097656,Yes,No,"GeneCards top 2,000"
NORAD,195,51.5807800292969,Yes,No,"GeneCards top 2,000"
MIAT,196,51.5276336669922,Yes,No,"GeneCards top 2,000"
PCAT1,197,51.5080833435059,Yes,No,"GeneCards top 2,000"
SMARCE1,198,51.4540328979492,Yes,No,"GeneCards top 2,000"
WT1,199,50.9370346069336,Yes,No,"GeneCards top 2,000"
PTCSC3,200,50.9183387756348,Yes,No,"GeneCards top 2,000"
TUG1,201,50.7965240478516,Yes,No,"GeneCards top 2,000"
LIFR-AS1,202,50.7859840393066,Yes,No,"GeneCards top 2,000"
RNF43,203,50.7583847045898,Yes,No,"GeneCards top 2,000"
ERBB4,204,50.7137336730957,Yes,No,"GeneCards top 2,000"
PTGS2,205,50.7006950378418,Yes,No,"GeneCards top 2,000"
BICDL3P,206,50.6613235473633,Yes,No,"GeneCards top 2,000"
DUOXA2,207,50.6259536743164,Yes,No,"GeneCards top 2,000"
STAT1,208,50.5652847290039,Yes,No,"GeneCards top 2,000"
CDKN2B,209,50.4615936279297,Yes,No,"GeneCards top 2,000"
KDR,210,50.3772888183594,Yes,No,"GeneCards top 2,000"
AGAP2-AS1,211,50.3762550354004,Yes,No,"GeneCards top 2,000"
CASP3,212,50.1806945800781,Yes,No,"GeneCards top 2,000"
FANCD2,213,49.9782524108887,Yes,No,"GeneCards top 2,000"
DLC1,214,49.887767791748,Yes,No,"GeneCards top 2,000"
HOTTIP,215,49.8869171142578,Yes,No,"GeneCards top 2,000"
BLACAT1,216,49.7916564941406,Yes,No,"GeneCards top 2,000"
TNF,217,49.7845993041992,Yes,No,"GeneCards top 2,000"
PHOX2B,218,49.7297325134277,Yes,No,"GeneCards top 2,000"
SNHG14,219,49.7110595703125,Yes,No,"GeneCards top 2,000"
MMP2,220,49.6550827026367,Yes,No,"GeneCards top 2,000"
BANCR,221,49.5692977905273,Yes,No,"GeneCards top 2,000"
MIR143,222,49.5578231811523,Yes,No,"GeneCards top 2,000"
NFE2L2,223,49.5007362365723,Yes,No,"GeneCards top 2,000"
TMPO-AS1,224,49.3204727172852,Yes,No,"GeneCards top 2,000"
